algorithm,list_size,time,comparisons,spearman,classification_error,min_time,relative_overhead
quick_sort,8,1.4066696166992188e-05,14,-0.119047619047619,8,9.775161743164062e-06,43.90243902439024
heap_sort,8,1.52587890625e-05,27,-0.119047619047619,8,9.775161743164062e-06,56.09756097560976
merge_sort,8,1.6927719116210938e-05,16,-0.119047619047619,8,9.775161743164062e-06,73.17073170731707
corsort,8,0.0020527839660644,16,0.2048192771084337,5,9.775161743164062e-06,20899.99999999946
multizip_sort,8,0.000101089477539,16,0.2048192771084337,5,9.775161743164062e-06,934.1463414627751
quick_sort,8,1.5020370483398438e-05,16,0.2048192771084337,5,9.775161743164062e-06,53.65853658536586
heap_sort,8,1.5735626220703125e-05,25,0.2048192771084337,5,9.775161743164062e-06,60.97560975609757
merge_sort,8,1.6689300537109375e-05,16,0.2048192771084337,5,9.775161743164062e-06,70.73170731707317
corsort,8,0.0021121501922607,16,-0.1566265060240963,7,9.775161743164062e-06,21507.317073170303
multizip_sort,8,0.0001022815704345,14,-0.1566265060240963,7,9.775161743164062e-06,946.3414634139149
quick_sort,8,1.2636184692382812e-05,15,-0.1566265060240963,7,9.775161743164062e-06,29.268292682926834
heap_sort,8,1.52587890625e-05,26,-0.1566265060240963,7,9.775161743164062e-06,56.09756097560976
merge_sort,8,1.6927719116210938e-05,17,-0.1566265060240963,7,9.775161743164062e-06,73.17073170731707
corsort,8,0.0018627643585205,15,-0.2142857142857143,8,9.775161743164062e-06,18956.09756097553
multizip_sort,8,9.322166442871094e-05,14,-0.2142857142857143,8,9.775161743164062e-06,853.6585365853659
quick_sort,8,1.4066696166992188e-05,14,-0.2142857142857143,8,9.775161743164062e-06,43.90243902439024
heap_sort,8,1.5020370483398438e-05,27,-0.2142857142857143,8,9.775161743164062e-06,53.65853658536586
merge_sort,8,1.6689300537109375e-05,15,-0.2142857142857143,8,9.775161743164062e-06,70.73170731707317
corsort,8,0.0020890235900878,15,-0.119047619047619,4,9.775161743164062e-06,21270.731707316147
multizip_sort,8,0.0001091957092285,15,-0.119047619047619,4,9.775161743164062e-06,1017.0731707315475
quick_sort,8,1.3113021850585938e-05,15,-0.119047619047619,4,9.775161743164062e-06,34.14634146341464
heap_sort,8,1.3828277587890623e-05,23,-0.119047619047619,4,9.775161743164062e-06,41.46341463414633
merge_sort,8,1.6927719116210938e-05,17,-0.119047619047619,4,9.775161743164062e-06,73.17073170731707
corsort,8,0.0019850730895996,16,0.0952380952380952,7,9.775161743164062e-06,20207.317073170634
multizip_sort,8,0.0001099109649658,14,0.0952380952380952,7,9.775161743164062e-06,1024.3902439022313
quick_sort,8,1.4066696166992188e-05,14,0.0952380952380952,7,9.775161743164062e-06,43.90243902439024
heap_sort,8,1.5974044799804688e-05,28,0.0952380952380952,7,9.775161743164062e-06,63.414634146341456
merge_sort,8,1.5974044799804688e-05,15,0.0952380952380952,7,9.775161743164062e-06,63.414634146341456
corsort,8,0.0019929409027099,16,0.119047619047619,7,9.775161743164062e-06,20287.804878048155
multizip_sort,8,0.0001001358032226,16,0.119047619047619,7,9.775161743164062e-06,924.3902439018635
quick_sort,8,1.5020370483398438e-05,16,0.119047619047619,7,9.775161743164062e-06,53.65853658536586
heap_sort,8,1.4781951904296877e-05,26,0.119047619047619,7,9.775161743164062e-06,51.21951219512197
merge_sort,8,1.71661376953125e-05,17,0.119047619047619,7,9.775161743164062e-06,75.60975609756098
corsort,8,0.0019669532775878,16,-0.463855421686747,7,9.775161743164062e-06,20021.95121951127
multizip_sort,8,0.0001101493835449,19,-0.463855421686747,7,9.775161743164062e-06,1026.8292682924591
quick_sort,8,1.4066696166992188e-05,20,-0.463855421686747,7,9.775161743164062e-06,43.90243902439024
heap_sort,8,1.4066696166992188e-05,23,-0.463855421686747,7,9.775161743164062e-06,43.90243902439024
merge_sort,8,1.6927719116210938e-05,17,-0.463855421686747,7,9.775161743164062e-06,73.17073170731707
corsort,8,0.0018901824951171,15,-0.119047619047619,5,9.775161743164062e-06,19236.585365852763
multizip_sort,8,0.0001018047332763,23,-0.119047619047619,5,9.775161743164062e-06,941.463414633459
quick_sort,8,1.2874603271484377e-05,23,-0.119047619047619,5,9.775161743164062e-06,31.70731707317076
heap_sort,8,1.52587890625e-05,25,-0.119047619047619,5,9.775161743164062e-06,56.09756097560976
merge_sort,8,1.6927719116210938e-05,17,-0.119047619047619,5,9.775161743164062e-06,73.17073170731707
corsort,8,0.0019698143005371,16,-0.380952380952381,7,9.775161743164062e-06,20051.219512195024
multizip_sort,8,9.512901306152344e-05,17,-0.380952380952381,7,9.775161743164062e-06,873.1707317073171
quick_sort,8,9.775161743164062e-06,17,-0.380952380952381,7,9.775161743164062e-06,0.0
heap_sort,8,1.4781951904296877e-05,26,-0.380952380952381,7,9.775161743164062e-06,51.21951219512197
merge_sort,8,1.6927719116210938e-05,16,-0.380952380952381,7,9.775161743164062e-06,73.17073170731707
corsort,8,0.0019288063049316,16,0.2380952380952381,7,9.775161743164062e-06,19631.707317072756
multizip_sort,8,9.489059448242188e-05,19,0.2380952380952381,7,9.775161743164062e-06,870.7317073170732
quick_sort,8,1.883506774902344e-05,19,0.2380952380952381,7,9.775161743164062e-06,92.68292682926833
heap_sort,8,1.5020370483398438e-05,26,0.2380952380952381,7,9.775161743164062e-06,53.65853658536586
merge_sort,8,1.5974044799804688e-05,17,0.2380952380952381,7,9.775161743164062e-06,63.414634146341456
corsort,8,0.002000093460083,16,-0.3571428571428572,7,9.775161743164062e-06,20360.975609756017
multizip_sort,8,0.0001039505004882,15,-0.3571428571428572,7,9.775161743164062e-06,963.4146341455104
quick_sort,8,1.1920928955078123e-05,15,-0.3571428571428572,7,9.775161743164062e-06,21.951219512195095
heap_sort,8,1.3828277587890623e-05,23,-0.3571428571428572,7,9.775161743164062e-06,41.46341463414633
merge_sort,8,1.621246337890625e-05,15,-0.3571428571428572,7,9.775161743164062e-06,65.85365853658536
corsort,8,0.0022261142730712,16,-0.2142857142857143,8,9.775161743164062e-06,22673.170731706407
multizip_sort,8,9.918212890625e-05,14,-0.2142857142857143,8,9.775161743164062e-06,914.6341463414634
quick_sort,8,1.3113021850585938e-05,14,-0.2142857142857143,8,9.775161743164062e-06,34.14634146341464
heap_sort,8,1.5974044799804688e-05,26,-0.2142857142857143,8,9.775161743164062e-06,63.414634146341456
merge_sort,8,1.71661376953125e-05,15,-0.2142857142857143,8,9.775161743164062e-06,75.60975609756098
corsort,8,0.0018720626831054,15,0.0238095238095238,7,9.775161743164062e-06,19051.21951219442
multizip_sort,8,9.393692016601562e-05,16,0.0238095238095238,7,9.775161743164062e-06,860.9756097560976
quick_sort,8,1.2874603271484377e-05,16,0.0238095238095238,7,9.775161743164062e-06,31.70731707317076
heap_sort,8,1.621246337890625e-05,27,0.0238095238095238,7,9.775161743164062e-06,65.85365853658536
merge_sort,8,1.621246337890625e-05,16,0.0238095238095238,7,9.775161743164062e-06,65.85365853658536
corsort,8,0.0018839836120605,15,-0.8095238095238096,8,9.775161743164062e-06,19173.17073170684
multizip_sort,8,0.0001370906829833,16,-0.8095238095238096,8,9.775161743164062e-06,1302.4390243892367
quick_sort,8,1.1920928955078123e-05,16,-0.8095238095238096,8,9.775161743164062e-06,21.951219512195095
heap_sort,8,1.3828277587890623e-05,23,-0.8095238095238096,8,9.775161743164062e-06,41.46341463414633
merge_sort,8,1.5735626220703125e-05,14,-0.8095238095238096,8,9.775161743164062e-06,60.97560975609757
corsort,8,0.0018861293792724,15,0.6867469879518071,3,9.775161743164062e-06,19195.121951218887
multizip_sort,8,0.0001070499420166,16,0.6867469879518071,3,9.775161743164062e-06,995.1219512194962
quick_sort,8,1.4781951904296877e-05,22,0.6867469879518071,3,9.775161743164062e-06,51.21951219512197
heap_sort,8,1.621246337890625e-05,27,0.6867469879518071,3,9.775161743164062e-06,65.85365853658536
merge_sort,8,1.621246337890625e-05,15,0.6867469879518071,3,9.775161743164062e-06,65.85365853658536
corsort,8,0.0019478797912597,16,0.1666666666666667,5,9.775161743164062e-06,19826.82926829201
multizip_sort,8,9.703636169433594e-05,15,0.1666666666666667,5,9.775161743164062e-06,892.6829268292684
quick_sort,8,1.3113021850585938e-05,15,0.1666666666666667,5,9.775161743164062e-06,34.14634146341464
heap_sort,8,1.4066696166992188e-05,25,0.1666666666666667,5,9.775161743164062e-06,43.90243902439024
merge_sort,8,1.6927719116210938e-05,16,0.1666666666666667,5,9.775161743164062e-06,73.17073170731707
corsort,8,0.0018751621246337,15,0.1904761904761905,5,9.775161743164062e-06,19082.92682926738
multizip_sort,8,9.179115295410156e-05,14,0.1904761904761905,5,9.775161743164062e-06,839.0243902439024
quick_sort,8,1.3113021850585938e-05,14,0.1904761904761905,5,9.775161743164062e-06,34.14634146341464
heap_sort,8,1.5974044799804688e-05,27,0.1904761904761905,5,9.775161743164062e-06,63.414634146341456
merge_sort,8,1.6927719116210938e-05,16,0.1904761904761905,5,9.775161743164062e-06,73.17073170731707
corsort,8,0.001871109008789,15,-0.3571428571428572,7,9.775161743164062e-06,19041.463414633505
multizip_sort,8,9.679794311523438e-05,14,-0.3571428571428572,7,9.775161743164062e-06,890.2439024390244
quick_sort,8,1.3113021850585938e-05,14,-0.3571428571428572,7,9.775161743164062e-06,34.14634146341464
heap_sort,8,1.5020370483398438e-05,26,-0.3571428571428572,7,9.775161743164062e-06,53.65853658536586
merge_sort,8,1.621246337890625e-05,14,-0.3571428571428572,7,9.775161743164062e-06,65.85365853658536
corsort,8,0.0020821094512939,16,0.3855421686746987,6,9.775161743164062e-06,21199.999999999538
multizip_sort,8,0.0001049041748046,22,0.3855421686746987,6,9.775161743164062e-06,973.170731706422
quick_sort,8,1.71661376953125e-05,22,0.3855421686746987,6,9.775161743164062e-06,75.60975609756098
heap_sort,8,1.811981201171875e-05,28,0.3855421686746987,6,9.775161743164062e-06,85.3658536585366
merge_sort,8,1.621246337890625e-05,14,0.3855421686746987,6,9.775161743164062e-06,65.85365853658536
corsort,8,0.0019741058349609,16,-0.380952380952381,8,9.775161743164062e-06,20095.12195121913
multizip_sort,8,9.822845458984376e-05,19,-0.380952380952381,8,9.775161743164062e-06,904.878048780488
quick_sort,8,1.2159347534179688e-05,19,-0.380952380952381,8,9.775161743164062e-06,24.390243902439025
heap_sort,8,1.4066696166992188e-05,24,-0.380952380952381,8,9.775161743164062e-06,43.90243902439024
merge_sort,8,1.5974044799804688e-05,15,-0.380952380952381,8,9.775161743164062e-06,63.414634146341456
corsort,8,0.002000093460083,16,0.1385542168674698,6,9.775161743164062e-06,20360.975609756017
multizip_sort,8,0.0001029968261718,16,0.1385542168674698,6,9.775161743164062e-06,953.6585365845987
quick_sort,8,1.4781951904296877e-05,16,0.1385542168674698,6,9.775161743164062e-06,51.21951219512197
