Algorithm,Test Case,Comparisons,Spearman Distance,Classification Error,Execution Time
Selection Sort,Lista 15,120,106.0,13,1.71661376953125e-05
Selection Sort,Lista 16,861,569.0,41,0.00013589859008789062
Selection Sort,Lista 17,78,62.0,10,1.4066696166992188e-05
Selection Sort,Lista 18,903,522.0,41,9.417533874511719e-05
Selection Sort,Lista 19,780,538.0,37,8.177757263183594e-05
Selection Sort,Lista 20,1176,759.0,44,0.00011706352233886719
Shell Sort,Lista 1,78,106.0,17,1.5735626220703125e-05
Shell Sort,Lista 2,307,637.0,46,4.887580871582031e-05
Shell Sort,Lista 3,298,672.0,44,4.8160552978515625e-05
Shell Sort,Lista 4,302,634.0,42,4.9114227294921875e-05
Shell Sort,Lista 5,305,620.0,42,5.2928924560546875e-05
Shell Sort,Lista 6,301,670.0,43,4.8160552978515625e-05
Shell Sort,Lista 7,53,45.0,11,1.2159347534179688e-05
Shell Sort,Lista 8,157,374.0,31,2.7179718017578125e-05
Shell Sort,Lista 9,94,104.0,17,1.7881393432617188e-05
Shell Sort,Lista 10,322,691.0,46,5.1021575927734375e-05
Shell Sort,Lista 11,37,36.0,10,1.0013580322265625e-05
Shell Sort,Lista 12,136,187.0,22,2.4080276489257812e-05
Shell Sort,Lista 13,148,182.0,24,2.47955322265625e-05
Shell Sort,Lista 14,234,443.0,33,3.886222839355469e-05
Shell Sort,Lista 15,71,106.0,13,1.3828277587890625e-05
Shell Sort,Lista 16,277,569.0,41,4.38690185546875e-05
Shell Sort,Lista 17,43,62.0,10,1.0013580322265625e-05
Shell Sort,Lista 18,296,522.0,41,4.696846008300781e-05
Shell Sort,Lista 19,282,538.0,37,4.506111145019531e-05
Shell Sort,Lista 20,376,759.0,44,6.008148193359375e-05
Radix Sort,Lista 1,68,106.0,17,2.5033950805664062e-05
Radix Sort,Lista 2,184,637.0,46,4.792213439941406e-05
Radix Sort,Lista 3,184,672.0,44,4.601478576660156e-05
Radix Sort,Lista 4,172,634.0,42,4.38690185546875e-05
Radix Sort,Lista 5,180,620.0,42,4.6253204345703125e-05
Radix Sort,Lista 6,180,670.0,43,4.506111145019531e-05
Radix Sort,Lista 7,52,45.0,11,1.9788742065429688e-05
Radix Sort,Lista 8,124,374.0,31,3.3855438232421875e-05
Radix Sort,Lista 9,68,104.0,17,2.193450927734375e-05
Radix Sort,Lista 10,282,691.0,46,6.413459777832031e-05
Radix Sort,Lista 11,44,36.0,10,1.811981201171875e-05
Radix Sort,Lista 12,144,187.0,22,3.695487976074219e-05
Radix Sort,Lista 13,96,182.0,24,7.033348083496094e-05
Radix Sort,Lista 14,136,443.0,33,3.62396240234375e-05
Radix Sort,Lista 15,96,106.0,13,3.1948089599609375e-05
Radix Sort,Lista 16,252,569.0,41,7.224082946777344e-05
Radix Sort,Lista 17,52,62.0,10,1.9788742065429688e-05
Radix Sort,Lista 18,172,522.0,41,8.511543273925781e-05
Radix Sort,Lista 19,160,538.0,37,6.699562072753906e-05
Radix Sort,Lista 20,196,759.0,44,4.887580871582031e-05
Counting Sort,Lista 1,17,106.0,17,2.193450927734375e-05
Counting Sort,Lista 2,46,637.0,46,3.123283386230469e-05
Counting Sort,Lista 3,46,672.0,44,2.9087066650390625e-05
Counting Sort,Lista 4,43,634.0,42,2.8133392333984375e-05
Counting Sort,Lista 5,45,620.0,42,2.9087066650390625e-05
Counting Sort,Lista 6,45,670.0,43,3.075599670410156e-05
Counting Sort,Lista 7,13,45.0,11,1.7881393432617188e-05
Counting Sort,Lista 8,31,374.0,31,2.47955322265625e-05
Counting Sort,Lista 9,17,104.0,17,2.0265579223632812e-05
Counting Sort,Lista 10,47,691.0,46,3.0994415283203125e-05
Counting Sort,Lista 11,11,36.0,10,1.6927719116210938e-05
Counting Sort,Lista 12,24,187.0,22,2.384185791015625e-05
Counting Sort,Lista 13,24,182.0,24,2.288818359375e-05
Counting Sort,Lista 14,34,443.0,33,2.5987625122070312e-05
Counting Sort,Lista 15,16,106.0,13,2.09808349609375e-05
Counting Sort,Lista 16,42,569.0,41,2.9802322387695312e-05
Counting Sort,Lista 17,13,62.0,10,1.811981201171875e-05
Counting Sort,Lista 18,43,522.0,41,3.0994415283203125e-05
Counting Sort,Lista 19,40,538.0,37,3.3855438232421875e-05
Counting Sort,Lista 20,49,759.0,44,3.1948089599609375e-05
