algorithm,list_size,time,comparisons,spearman,classification_error
merge_sort,8,1.621246337890625e-05,16,0.023809523809523815,7
corsort,8,0.0018839836120605469,15,-0.8095238095238096,8
multizip_sort,8,0.00013709068298339844,16,-0.8095238095238096,8
quick_sort,8,1.1920928955078125e-05,16,-0.8095238095238096,8
heap_sort,8,1.3828277587890625e-05,23,-0.8095238095238096,8
merge_sort,8,1.5735626220703125e-05,14,-0.8095238095238096,8
corsort,8,0.001886129379272461,15,0.6867469879518071,3
multizip_sort,8,0.00010704994201660156,16,0.6867469879518071,3
quick_sort,8,1.4781951904296875e-05,22,0.6867469879518071,3
heap_sort,8,1.621246337890625e-05,27,0.6867469879518071,3
merge_sort,8,1.621246337890625e-05,15,0.6867469879518071,3
corsort,8,0.0019478797912597656,16,0.1666666666666667,5
multizip_sort,8,9.703636169433594e-05,15,0.1666666666666667,5
quick_sort,8,1.3113021850585938e-05,15,0.1666666666666667,5
heap_sort,8,1.4066696166992188e-05,25,0.1666666666666667,5
merge_sort,8,1.6927719116210938e-05,16,0.1666666666666667,5
corsort,8,0.001875162124633789,15,0.19047619047619052,5
multizip_sort,8,9.179115295410156e-05,14,0.19047619047619052,5
quick_sort,8,1.3113021850585938e-05,14,0.19047619047619052,5
heap_sort,8,1.5974044799804688e-05,27,0.19047619047619052,5
merge_sort,8,1.6927719116210938e-05,16,0.19047619047619052,5
corsort,8,0.0018711090087890625,15,-0.3571428571428572,7
multizip_sort,8,9.679794311523438e-05,14,-0.3571428571428572,7
quick_sort,8,1.3113021850585938e-05,14,-0.3571428571428572,7
heap_sort,8,1.5020370483398438e-05,26,-0.3571428571428572,7
merge_sort,8,1.621246337890625e-05,14,-0.3571428571428572,7
corsort,8,0.0020821094512939453,16,0.38554216867469876,6
multizip_sort,8,0.0001049041748046875,22,0.38554216867469876,6
quick_sort,8,1.71661376953125e-05,22,0.38554216867469876,6
heap_sort,8,1.811981201171875e-05,28,0.38554216867469876,6
merge_sort,8,1.621246337890625e-05,14,0.38554216867469876,6
corsort,8,0.0019741058349609375,16,-0.38095238095238104,8
multizip_sort,8,9.822845458984375e-05,19,-0.38095238095238104,8
quick_sort,8,1.2159347534179688e-05,19,-0.38095238095238104,8
heap_sort,8,1.4066696166992188e-05,24,-0.38095238095238104,8
merge_sort,8,1.5974044799804688e-05,15,-0.38095238095238104,8
corsort,8,0.002000093460083008,16,0.13855421686746988,6
multizip_sort,8,0.000102996826171875,16,0.13855421686746988,6
